RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;D66;PVV (Partij voor de Vrijheid);CDA;SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);GROENLINKS;Forum voor Democratie;Partij voor de Dieren;ChristenUnie;Volt;JA21;Staatkundig Gereformeerde Partij (SGP);DENK;50PLUS;BBB;BIJ1;CODE ORANJE;NIDA;Splinter;Piratenpartij;JONG;Trots op Nederland (TROTS);Lijst Henk Krol;NLBeter;Blanco (Zeven, A.J.L.B.);LP (Libertaire Partij);OPRECHT;JEZUS LEEFT;DE FEESTPARTIJ (DFP);U-Buntu Connected Front;Vrij en Sociaal Nederland;Partij van de Eenheid;Wij zijn Nederland;Partij voor de Republiek;Modern Nederland;De Groenen
Vught;G0865;11224;'s-Hertogenbosch;K18;24436;19853;23;18;19812;5765;4272;1508;1831;1323;959;994;635;717;220;539;353;27;35;173;95;50;50;7;52;36;31;27;19;10;18;7;39;4;14;;;2;;;;
Waadhoeke;G1949;10404;Leeuwarden;K2;36073;28883;37;33;28813;5118;3101;2866;4929;2151;2841;935;2135;894;1212;361;517;153;30;223;866;37;88;3;88;59;44;61;17;18;;6;25;20;;;6;;;6;;3
Waalre;G0866;10959;'s-Hertogenbosch;K18;13261;11246;21;21;11204;3225;2271;912;1127;654;462;556;383;406;135;416;222;20;22;134;26;29;36;9;41;25;17;21;19;10;3;5;2;2;10;;;4;;;;
Waalwijk;G0867;11359;Tilburg;K17;36973;28289;44;53;28192;7732;3459;3998;2685;2115;1086;870;1505;790;747;326;666;614;522;363;150;41;105;42;87;53;51;;37;24;26;18;32;15;29;1;;3;;;;
Waddinxveen;G0627;10081;Leiden;K15;22877;18829;26;21;18782;4402;2159;1828;1716;764;762;494;984;487;1742;266;616;1538;323;212;73;43;89;76;47;26;31;;25;16;19;7;19;12;;3;;;;;3;
Wageningen;G0289;11010;Arnhem;K7;28607;24499;40;30;24429;3155;5522;1247;1443;1173;1797;3484;622;1457;1016;1951;331;192;158;124;82;303;46;43;59;75;32;20;4;18;40;18;4;6;;7;;;;;;
Wassenaar;G0629;10164;Leiden;K15;18139;15315;23;16;15276;5594;2475;1589;1477;428;443;430;595;539;225;447;490;41;44;111;57;53;96;2;31;19;16;;10;20;22;13;4;4;;0;;;;;1;
Waterland;G0852;10983;Den Helder;K11;13588;11856;28;18;11810;2888;1948;1160;1201;514;773;660;529;550;208;359;406;30;23;104;143;78;28;7;30;23;13;27;8;13;66;8;3;1;8;1;;;0;;;
Weert;G0988;11081;Maastricht;K19;39345;29912;53;50;29809;7257;3833;4277;3254;2030;1551;1759;1700;775;213;495;764;36;614;368;195;58;73;97;111;54;60;76;43;18;31;11;26;;19;;;9;2;;;
Weesp;G0457;10773;Haarlem;K10;15028;12263;53;16;12194;2841;2558;928;873;638;773;795;393;609;181;407;264;37;414;101;76;105;38;25;28;22;17;15;12;19;;7;4;;6;0;5;;3;;;
